episode,reward,steps,epsilon,event,win_rate,food_eaten,completion_rate,elapsed_sec,q_states
184,-132.22,56,0.972775,caught,0.0,4,0.064516,2.047,11995
185,-115.36,71,0.972629,caught,0.0,6,0.096774,2.057,12054
186,-135.71,70,0.972484,caught,0.0,5,0.080645,2.068,12119
187,-128.86,65,0.972338,caught,0.0,5,0.080645,2.076,12172
188,-169.03,61,0.972192,caught,0.0,1,0.016129,2.085,12217
189,-144.3,68,0.972046,caught,0.0,4,0.064516,2.095,12264
190,-139.5,78,0.9719,caught,0.0,5,0.080645,2.106,12333
191,-133.99,66,0.971754,caught,0.0,4,0.064516,2.117,12375
192,-75.13,72,0.971609,caught,0.0,10,0.16129,2.127,12440
193,-169.94,61,0.971463,caught,0.0,2,0.032258,2.138,12476
194,-161.55,83,0.971317,caught,0.0,3,0.048387,2.151,12542
195,-71.54,73,0.971172,caught,0.0,10,0.16129,2.161,12611
196,78.07,100,0.971026,caught,0.0,12,0.193548,2.174,12707
197,-111.85,78,0.97088,caught,0.0,7,0.112903,2.186,12771
198,-35.68,70,0.970735,caught,0.0,5,0.080645,2.196,12833
199,-104.79,73,0.970589,caught,0.0,8,0.129032,2.206,12873
200,-84.75,119,0.970443,caught,0.0,7,0.112903,2.222,12986
201,-47.52,132,0.970298,caught,0.0,12,0.193548,2.239,13106
202,-143.32,63,0.970152,caught,0.0,3,0.048387,2.249,13150
203,-156.75,68,0.970007,caught,0.0,3,0.048387,2.26,13203
204,-185.37,57,0.969861,caught,0.0,0,0.0,2.269,13241
205,-159.16,54,0.969716,caught,0.0,2,0.032258,2.276,13271
206,-149.73,62,0.96957,caught,0.0,3,0.048387,2.284,13317
207,-135.29,65,0.969425,caught,0.0,5,0.080645,2.293,13360
208,-185.91,74,0.969279,caught,0.0,1,0.016129,2.303,13407
209,-148.49,57,0.969134,caught,0.0,3,0.048387,2.31,13443
210,-152.55,70,0.968989,caught,0.0,3,0.048387,2.321,13494
211,-146.33,71,0.968843,caught,0.0,4,0.064516,2.333,13553
212,-129.98,53,0.968698,caught,0.0,4,0.064516,2.341,13590
213,-143.33,75,0.968553,caught,0.0,4,0.064516,2.353,13651
214,-151.36,77,0.968407,caught,0.0,3,0.048387,2.365,13709
215,-115.23,68,0.968262,caught,0.0,6,0.096774,2.374,13759
216,-133.62,73,0.968117,caught,0.0,5,0.080645,2.385,13817
217,-141.37,74,0.967972,caught,0.0,5,0.080645,2.397,13863
218,-121.33,54,0.967826,caught,0.0,5,0.080645,2.403,13905
219,-144.66,72,0.967681,caught,0.0,4,0.064516,2.414,13954
220,-20.51,62,0.967536,caught,0.0,5,0.080645,2.422,14008
221,-41.14,122,0.967391,caught,0.0,11,0.177419,2.436,14125
222,-103.24,59,0.967246,caught,0.0,7,0.112903,2.446,14173
223,-143.09,66,0.967101,caught,0.0,4,0.064516,2.457,14211
224,-128.53,57,0.966956,caught,0.0,5,0.080645,2.466,14249
225,-135.97,52,0.966811,caught,0.0,4,0.064516,2.474,14282
226,-118.4,66,0.966666,caught,0.0,6,0.096774,2.482,14340
227,-82.32,72,0.966521,caught,0.0,9,0.145161,2.492,14403
228,-129.35,68,0.966376,caught,0.0,5,0.080645,2.503,14463
229,-128.56,83,0.966231,caught,0.0,6,0.096774,2.515,14536
230,-154.53,58,0.966086,caught,0.0,2,0.032258,2.523,14581
231,-106.68,74,0.965941,caught,0.0,7,0.112903,2.535,14644
232,-20.51,118,0.965796,caught,0.0,13,0.209677,2.55,14745
233,-162.97,76,0.965651,caught,0.0,2,0.032258,2.561,14796
234,-136.54,73,0.965506,caught,0.0,5,0.080645,2.571,14835
235,-128.7,73,0.965361,caught,0.0,5,0.080645,2.582,14895
236,-143.16,54,0.965217,caught,0.0,3,0.048387,2.589,14945
237,-99.32,77,0.965072,caught,0.0,8,0.129032,2.6,15014
238,-66.81,74,0.964927,caught,0.0,2,0.032258,2.61,15076
239,-65.7,99,0.964782,caught,0.0,8,0.129032,2.622,15166
240,3.13,166,0.964638,caught,0.0,14,0.225806,2.641,15316
241,-159.15,76,0.964493,caught,0.0,3,0.048387,2.652,15365
242,-118.08,80,0.964348,caught,0.0,6,0.096774,2.666,15423
243,-146.22,75,0.964204,caught,0.0,4,0.064516,2.678,15472
244,-124.59,56,0.964059,caught,0.0,5,0.080645,2.685,15515
245,-122.56,71,0.963914,caught,0.0,6,0.096774,2.696,15569
246,-38.44,73,0.96377,caught,0.0,14,0.225806,2.706,15630
247,-141.38,67,0.963625,caught,0.0,4,0.064516,2.715,15672
248,-139.75,77,0.963481,caught,0.0,4,0.064516,2.726,15731
249,-100.49,55,0.963336,caught,0.0,7,0.112903,2.733,15773
250,-115.11,66,0.963192,caught,0.0,6,0.096774,2.742,15823
251,-141.65,74,0.963047,caught,0.0,4,0.064516,2.754,15875
252,-155.78,73,0.962903,caught,0.0,3,0.048387,2.766,15925
253,9.01,91,0.962758,caught,0.0,14,0.225806,2.777,16000
254,-110.94,73,0.962614,caught,0.0,7,0.112903,2.787,16063
255,-146.99,61,0.96247,caught,0.0,4,0.064516,2.796,16112
256,-107.69,142,0.962325,caught,0.0,6,0.096774,2.814,16224
257,44.67,89,0.962181,caught,0.0,18,0.290323,2.825,16304
258,-157.28,67,0.962036,caught,0.0,2,0.032258,2.834,16338
259,-156.32,73,0.961892,caught,0.0,4,0.064516,2.845,16379
260,-154.4,71,0.961748,caught,0.0,3,0.048387,2.855,16425
261,-117.89,65,0.961604,caught,0.0,6,0.096774,2.865,16466
262,-103.3,68,0.961459,caught,0.0,7,0.112903,2.876,16526
263,-132.66,72,0.961315,caught,0.0,5,0.080645,2.887,16575
264,-86.71,72,0.961171,caught,0.0,9,0.145161,2.897,16643
265,-125.11,53,0.961027,caught,0.0,5,0.080645,2.905,16683
266,-109.65,59,0.960883,caught,0.0,6,0.096774,2.913,16723
267,-38.19,135,0.960739,caught,0.0,13,0.209677,2.93,16846
